project_name,snapshot_date,stage,probability,expected_close_date,pipeline_value
Project 0197,2026-05-24,Qualified,0.35,2026-10-13,1002500
Project 0197,2026-04-24,Qualified,0.35,2026-10-13,1002500
Project 0197,2026-03-24,Qualified,0.35,2026-10-13,1002500
Project 0198,2026-08-24,Qualified,0.35,2025-08-24,133200
Project 0198,2026-07-24,Qualified,0.35,2025-08-24,133200
Project 0198,2026-06-24,Qualified,0.35,2025-08-24,133200
Project 0198,2026-05-24,Qualified,0.35,2025-08-24,133200
Project 0198,2026-04-24,Qualified,0.35,2025-08-24,133200
Project 0198,2026-03-24,Qualified,0.35,2025-08-24,133200
Project 0199,2026-08-24,Qualified,0.35,2025-12-03,336000
Project 0199,2026-07-24,Qualified,0.35,2025-12-03,336000
Project 0199,2026-06-24,Qualified,0.35,2025-12-03,336000
Project 0199,2026-05-24,Qualified,0.35,2025-12-03,336000
Project 0199,2026-04-24,Qualified,0.35,2025-12-03,336000
Project 0199,2026-03-24,Qualified,0.35,2025-12-03,336000
Project 0200,2026-08-24,Prospect,0.15,2026-04-28,546000
Project 0200,2026-07-24,Prospect,0.15,2026-04-28,546000
Project 0200,2026-06-24,Prospect,0.15,2026-04-28,546000
Project 0200,2026-05-24,Prospect,0.15,2026-04-28,546000
Project 0200,2026-04-24,Prospect,0.15,2026-04-28,546000
Project 0200,2026-03-24,Prospect,0.15,2026-04-28,546000
Project 0201,2026-08-24,Prospect,0.15,2025-08-04,316400
Project 0201,2026-07-24,Prospect,0.15,2025-08-04,316400
Project 0201,2026-06-24,Prospect,0.15,2025-08-04,316400
Project 0201,2026-05-24,Prospect,0.15,2025-08-04,316400
Project 0201,2026-04-24,Prospect,0.15,2025-08-04,316400
Project 0201,2026-03-24,Prospect,0.15,2025-08-04,316400
Project 0202,2026-08-24,Closed Won,1.0,2026-04-24,1067000
Project 0202,2026-07-24,Closed Won,1.0,2026-04-24,1067000
Project 0202,2026-06-24,Closed Won,1.0,2026-04-24,1067000
Project 0202,2026-05-24,Closed Won,1.0,2026-04-24,1067000
Project 0202,2026-04-24,Closed Won,1.0,2026-04-24,1067000
Project 0202,2026-03-24,Closed Won,1.0,2026-04-24,1067000
Project 0203,2026-08-24,Closed Won,1.0,2026-08-11,84000
Project 0203,2026-07-24,Closed Won,1.0,2026-08-11,84000
Project 0203,2026-06-24,Closed Won,1.0,2026-08-11,84000
Project 0203,2026-05-24,Closed Won,1.0,2026-08-11,84000
Project 0203,2026-04-24,Closed Won,1.0,2026-08-11,84000
Project 0203,2026-03-24,Closed Won,1.0,2026-08-11,84000
Project 0204,2026-08-24,Qualified,0.35,2025-10-02,271000
Project 0204,2026-07-24,Qualified,0.35,2025-10-02,271000
Project 0204,2026-06-24,Qualified,0.35,2025-10-02,271000
Project 0204,2026-05-24,Qualified,0.35,2025-10-02,271000
Project 0204,2026-04-24,Qualified,0.35,2025-10-02,271000
Project 0204,2026-03-24,Qualified,0.35,2025-10-02,271000
Project 0205,2026-08-24,Qualified,0.35,2026-10-26,600000
Project 0205,2026-07-24,Qualified,0.35,2026-10-26,600000
Project 0205,2026-06-24,Qualified,0.35,2026-10-26,600000
Project 0205,2026-05-24,Qualified,0.35,2026-10-26,600000
Project 0205,2026-04-24,Qualified,0.35,2026-10-26,600000
Project 0205,2026-03-24,Qualified,0.35,2026-10-26,600000
Project 0206,2026-08-24,In Delivery,0.75,2025-08-27,138900
Project 0206,2026-07-24,In Delivery,0.75,2025-08-27,138900
Project 0206,2026-06-24,In Delivery,0.75,2025-08-27,138900
Project 0206,2026-05-24,In Delivery,0.75,2025-08-27,138900
Project 0206,2026-04-24,In Delivery,0.75,2025-08-27,138900
Project 0206,2026-03-24,In Delivery,0.75,2025-08-27,138900
Project 0207,2026-08-24,In Delivery,0.75,2026-02-24,422800
Project 0207,2026-07-24,In Delivery,0.75,2026-02-24,422800
Project 0207,2026-06-24,In Delivery,0.75,2026-02-24,422800
Project 0207,2026-05-24,In Delivery,0.75,2026-02-24,422800
Project 0207,2026-04-24,In Delivery,0.75,2026-02-24,422800
Project 0207,2026-03-24,In Delivery,0.75,2026-02-24,422800
Project 0208,2026-08-24,Closed Lost,0.0,2026-09-22,50500
Project 0208,2026-07-24,Closed Lost,0.0,2026-09-22,50500
Project 0208,2026-06-24,Closed Lost,0.0,2026-09-22,50500
Project 0208,2026-05-24,Closed Lost,0.0,2026-09-22,50500
Project 0208,2026-04-24,Closed Lost,0.0,2026-09-22,50500
Project 0208,2026-03-24,Closed Lost,0.0,2026-09-22,50500
Project 0209,2026-08-24,Closed Won,1.0,2026-04-06,223500
Project 0209,2026-07-24,Closed Won,1.0,2026-04-06,223500
Project 0209,2026-06-24,Closed Won,1.0,2026-04-06,223500
Project 0209,2026-05-24,Closed Won,1.0,2026-04-06,223500
Project 0209,2026-04-24,Closed Won,1.0,2026-04-06,223500
Project 0209,2026-03-24,Closed Won,1.0,2026-04-06,223500
Project 0210,2026-08-24,Closed Won,1.0,2025-06-29,311000
Project 0210,2026-07-24,Closed Won,1.0,2025-06-29,311000
Project 0210,2026-06-24,Closed Won,1.0,2025-06-29,311000
Project 0210,2026-05-24,Closed Won,1.0,2025-06-29,311000
Project 0210,2026-04-24,Closed Won,1.0,2025-06-29,311000
Project 0210,2026-03-24,Closed Won,1.0,2025-06-29,311000
Project 0211,2026-08-24,Closed Won,1.0,2027-05-24,354900
Project 0211,2026-07-24,Closed Won,1.0,2027-05-24,354900
Project 0211,2026-06-24,Closed Won,1.0,2027-05-24,354900
Project 0211,2026-05-24,Closed Won,1.0,2027-05-24,354900
Project 0211,2026-04-24,Closed Won,1.0,2027-05-24,354900
Project 0211,2026-03-24,Closed Won,1.0,2027-05-24,354900
Project 0212,2026-08-24,In Delivery,0.75,2025-09-14,70800
Project 0212,2026-07-24,In Delivery,0.75,2025-09-14,70800
Project 0212,2026-06-24,In Delivery,0.75,2025-09-14,70800
Project 0212,2026-05-24,In Delivery,0.75,2025-09-14,70800
Project 0212,2026-04-24,In Delivery,0.75,2025-09-14,70800
Project 0212,2026-03-24,In Delivery,0.75,2025-09-14,70800
Project 0213,2026-08-24,Closed Won,1.0,2026-07-06,1158850
Project 0213,2026-07-24,Closed Won,1.0,2026-07-06,1158850
Project 0213,2026-06-24,Closed Won,1.0,2026-07-06,1158850
Project 0213,2026-05-24,Closed Won,1.0,2026-07-06,1158850
Project 0213,2026-04-24,Closed Won,1.0,2026-07-06,1158850
Project 0213,2026-03-24,Closed Won,1.0,2026-07-06,1158850
Project 0214,2026-08-24,Qualified,0.35,2026-09-26,1445500
Project 0214,2026-07-24,Qualified,0.35,2026-09-26,1445500
Project 0214,2026-06-24,Qualified,0.35,2026-09-26,1445500
Project 0214,2026-05-24,Qualified,0.35,2026-09-26,1445500
Project 0214,2026-04-24,Qualified,0.35,2026-09-26,1445500
Project 0214,2026-03-24,Qualified,0.35,2026-09-26,1445500
Project 0215,2026-08-24,Closed Won,1.0,2025-05-29,350850
Project 0215,2026-07-24,Closed Won,1.0,2025-05-29,350850
Project 0215,2026-06-24,Closed Won,1.0,2025-05-29,350850
Project 0215,2026-05-24,Closed Won,1.0,2025-05-29,350850
Project 0215,2026-04-24,Closed Won,1.0,2025-05-29,350850
Project 0215,2026-03-24,Closed Won,1.0,2025-05-29,350850
Project 0216,2026-08-24,Qualified,0.35,2025-05-18,420600
Project 0216,2026-07-24,Qualified,0.35,2025-05-18,420600
Project 0216,2026-06-24,Qualified,0.35,2025-05-18,420600
Project 0216,2026-05-24,Qualified,0.35,2025-05-18,420600
Project 0216,2026-04-24,Qualified,0.35,2025-05-18,420600
Project 0216,2026-03-24,Qualified,0.35,2025-05-18,420600
Project 0217,2026-08-24,In Delivery,0.75,2025-12-19,1748250
Project 0217,2026-07-24,In Delivery,0.75,2025-12-19,1748250
Project 0217,2026-06-24,In Delivery,0.75,2025-12-19,1748250
Project 0217,2026-05-24,In Delivery,0.75,2025-12-19,1748250
Project 0217,2026-04-24,In Delivery,0.75,2025-12-19,1748250
Project 0217,2026-03-24,In Delivery,0.75,2025-12-19,1748250
Project 0218,2026-08-24,Prospect,0.15,2026-01-17,729750
Project 0218,2026-07-24,Prospect,0.15,2026-01-17,729750
Project 0218,2026-06-24,Prospect,0.15,2026-01-17,729750
Project 0218,2026-05-24,Prospect,0.15,2026-01-17,729750
Project 0218,2026-04-24,Prospect,0.15,2026-01-17,729750
Project 0218,2026-03-24,Prospect,0.15,2026-01-17,729750
Project 0219,2026-08-24,Prospect,0.15,2025-03-25,1411600
Project 0219,2026-07-24,Prospect,0.15,2025-03-25,1411600
Project 0219,2026-06-24,Prospect,0.15,2025-03-25,1411600
Project 0219,2026-05-24,Prospect,0.15,2025-03-25,1411600
Project 0219,2026-04-24,Prospect,0.15,2025-03-25,1411600
Project 0219,2026-03-24,Prospect,0.15,2025-03-25,1411600
Project 0220,2026-08-24,Qualified,0.35,2027-02-20,829250
Project 0220,2026-07-24,Qualified,0.35,2027-02-20,829250
Project 0220,2026-06-24,Qualified,0.35,2027-02-20,829250
Project 0220,2026-05-24,Qualified,0.35,2027-02-20,829250
Project 0220,2026-04-24,Qualified,0.35,2027-02-20,829250
Project 0220,2026-03-24,Qualified,0.35,2027-02-20,829250
Project 0221,2026-08-24,Qualified,0.35,2025-03-01,1660050
Project 0221,2026-07-24,Qualified,0.35,2025-03-01,1660050
Project 0221,2026-06-24,Qualified,0.35,2025-03-01,1660050
Project 0221,2026-05-24,Qualified,0.35,2025-03-01,1660050
Project 0221,2026-04-24,Qualified,0.35,2025-03-01,1660050
Project 0221,2026-03-24,Qualified,0.35,2025-03-01,1660050
Project 0222,2026-08-24,Qualified,0.35,2027-06-21,308400
Project 0222,2026-07-24,Qualified,0.35,2027-06-21,308400
Project 0222,2026-06-24,Qualified,0.35,2027-06-21,308400
Project 0222,2026-05-24,Qualified,0.35,2027-06-21,308400
Project 0222,2026-04-24,Qualified,0.35,2027-06-21,308400
Project 0222,2026-03-24,Qualified,0.35,2027-06-21,308400
Project 0223,2026-08-24,Closed Won,1.0,2026-03-29,372000
Project 0223,2026-07-24,Closed Won,1.0,2026-03-29,372000
Project 0223,2026-06-24,Closed Won,1.0,2026-03-29,372000
Project 0223,2026-05-24,Closed Won,1.0,2026-03-29,372000
Project 0223,2026-04-24,Closed Won,1.0,2026-03-29,372000
Project 0223,2026-03-24,Closed Won,1.0,2026-03-29,372000
Project 0224,2026-08-24,Prospect,0.15,2025-05-12,1021200
Project 0224,2026-07-24,Prospect,0.15,2025-05-12,1021200
Project 0224,2026-06-24,Prospect,0.15,2025-05-12,1021200
Project 0224,2026-05-24,Prospect,0.15,2025-05-12,1021200
Project 0224,2026-04-24,Prospect,0.15,2025-05-12,1021200
Project 0224,2026-03-24,Prospect,0.15,2025-05-12,1021200
Project 0225,2026-08-24,Prospect,0.15,2026-11-14,788400
Project 0225,2026-07-24,Prospect,0.15,2026-11-14,788400
Project 0225,2026-06-24,Prospect,0.15,2026-11-14,788400
Project 0225,2026-05-24,Prospect,0.15,2026-11-14,788400
Project 0225,2026-04-24,Prospect,0.15,2026-11-14,788400
Project 0225,2026-03-24,Prospect,0.15,2026-11-14,788400
Project 0226,2026-08-24,Qualified,0.35,2025-09-17,1049750
Project 0226,2026-07-24,Qualified,0.35,2025-09-17,1049750
Project 0226,2026-06-24,Qualified,0.35,2025-09-17,1049750
Project 0226,2026-05-24,Qualified,0.35,2025-09-17,1049750
Project 0226,2026-04-24,Qualified,0.35,2025-09-17,1049750
Project 0226,2026-03-24,Qualified,0.35,2025-09-17,1049750
Project 0227,2026-08-24,Prospect,0.15,2026-08-24,1066800
Project 0227,2026-07-24,Prospect,0.15,2026-08-24,1066800
Project 0227,2026-06-24,Prospect,0.15,2026-08-24,1066800
Project 0227,2026-05-24,Prospect,0.15,2026-08-24,1066800
Project 0227,2026-04-24,Prospect,0.15,2026-08-24,1066800
Project 0227,2026-03-24,Prospect,0.15,2026-08-24,1066800
Project 0228,2026-08-24,Closed Won,1.0,2026-12-07,389400
Project 0228,2026-07-24,Closed Won,1.0,2026-12-07,389400
Project 0228,2026-06-24,Closed Won,1.0,2026-12-07,389400
Project 0228,2026-05-24,Closed Won,1.0,2026-12-07,389400
Project 0228,2026-04-24,Closed Won,1.0,2026-12-07,389400
Project 0228,2026-03-24,Closed Won,1.0,2026-12-07,389400
Project 0229,2026-08-24,Prospect,0.15,2026-05-30,596700
Project 0229,2026-07-24,Prospect,0.15,2026-05-30,596700
Project 0229,2026-06-24,Prospect,0.15,2026-05-30,596700
Project 0229,2026-05-24,Prospect,0.15,2026-05-30,596700
Project 0229,2026-04-24,Prospect,0.15,2026-05-30,596700
Project 0229,2026-03-24,Prospect,0.15,2026-05-30,596700
Project 0230,2026-08-24,Closed Won,1.0,2025-09-16,1267800
Project 0230,2026-07-24,Closed Won,1.0,2025-09-16,1267800
Project 0230,2026-06-24,Closed Won,1.0,2025-09-16,1267800
Project 0230,2026-05-24,Closed Won,1.0,2025-09-16,1267800
Project 0230,2026-04-24,Closed Won,1.0,2025-09-16,1267800
Project 0230,2026-03-24,Closed Won,1.0,2025-09-16,1267800
Project 0231,2026-08-24,Qualified,0.35,2026-02-15,545000
Project 0231,2026-07-24,Qualified,0.35,2026-02-15,545000
Project 0231,2026-06-24,Qualified,0.35,2026-02-15,545000
Project 0231,2026-05-24,Qualified,0.35,2026-02-15,545000
Project 0231,2026-04-24,Qualified,0.35,2026-02-15,545000
Project 0231,2026-03-24,Qualified,0.35,2026-02-15,545000
Project 0232,2026-08-24,Closed Lost,0.0,2025-03-05,177600
Project 0232,2026-07-24,Closed Lost,0.0,2025-03-05,177600
Project 0232,2026-06-24,Closed Lost,0.0,2025-03-05,177600
Project 0232,2026-05-24,Closed Lost,0.0,2025-03-05,177600
Project 0232,2026-04-24,Closed Lost,0.0,2025-03-05,177600
Project 0232,2026-03-24,Closed Lost,0.0,2025-03-05,177600
Project 0233,2026-08-24,Closed Won,1.0,2024-12-23,1393200
Project 0233,2026-07-24,Closed Won,1.0,2024-12-23,1393200
Project 0233,2026-06-24,Closed Won,1.0,2024-12-23,1393200
Project 0233,2026-05-24,Closed Won,1.0,2024-12-23,1393200
Project 0233,2026-04-24,Closed Won,1.0,2024-12-23,1393200
Project 0233,2026-03-24,Closed Won,1.0,2024-12-23,1393200
Project 0234,2026-08-24,In Delivery,0.75,2026-12-29,108900
Project 0234,2026-07-24,In Delivery,0.75,2026-12-29,108900
Project 0234,2026-06-24,In Delivery,0.75,2026-12-29,108900
Project 0234,2026-05-24,In Delivery,0.75,2026-12-29,108900
Project 0234,2026-04-24,In Delivery,0.75,2026-12-29,108900
Project 0234,2026-03-24,In Delivery,0.75,2026-12-29,108900
Project 0235,2026-08-24,Qualified,0.35,2025-10-04,364800
Project 0235,2026-07-24,Qualified,0.35,2025-10-04,364800
Project 0235,2026-06-24,Qualified,0.35,2025-10-04,364800
Project 0235,2026-05-24,Qualified,0.35,2025-10-04,364800
Project 0235,2026-04-24,Qualified,0.35,2025-10-04,364800
Project 0235,2026-03-24,Qualified,0.35,2025-10-04,364800
Project 0236,2026-08-24,Closed Lost,0.0,2026-04-27,1038800
Project 0236,2026-07-24,Closed Lost,0.0,2026-04-27,1038800
Project 0236,2026-06-24,Closed Lost,0.0,2026-04-27,1038800
Project 0236,2026-05-24,Closed Lost,0.0,2026-04-27,1038800
Project 0236,2026-04-24,Closed Lost,0.0,2026-04-27,1038800
Project 0236,2026-03-24,Closed Lost,0.0,2026-04-27,1038800
Project 0237,2026-08-24,In Delivery,0.75,2026-05-18,897200
Project 0237,2026-07-24,In Delivery,0.75,2026-05-18,897200
Project 0237,2026-06-24,In Delivery,0.75,2026-05-18,897200
Project 0237,2026-05-24,In Delivery,0.75,2026-05-18,897200
Project 0237,2026-04-24,In Delivery,0.75,2026-05-18,897200
Project 0237,2026-03-24,In Delivery,0.75,2026-05-18,897200
Project 0238,2026-08-24,Prospect,0.15,2027-02-14,794400
Project 0238,2026-07-24,Prospect,0.15,2027-02-14,794400
Project 0238,2026-06-24,Prospect,0.15,2027-02-14,794400
Project 0238,2026-05-24,Prospect,0.15,2027-02-14,794400
Project 0238,2026-04-24,Prospect,0.15,2027-02-14,794400
Project 0238,2026-03-24,Prospect,0.15,2027-02-14,794400
Project 0239,2026-08-24,In Delivery,0.75,2026-02-25,584000
Project 0239,2026-07-24,In Delivery,0.75,2026-02-25,584000
Project 0239,2026-06-24,In Delivery,0.75,2026-02-25,584000
Project 0239,2026-05-24,In Delivery,0.75,2026-02-25,584000
Project 0239,2026-04-24,In Delivery,0.75,2026-02-25,584000
Project 0239,2026-03-24,In Delivery,0.75,2026-02-25,584000
Project 0240,2026-08-24,Closed Won,1.0,2025-07-07,322350
Project 0240,2026-07-24,Closed Won,1.0,2025-07-07,322350
Project 0240,2026-06-24,Closed Won,1.0,2025-07-07,322350
Project 0240,2026-05-24,Closed Won,1.0,2025-07-07,322350
Project 0240,2026-04-24,Closed Won,1.0,2025-07-07,322350
Project 0240,2026-03-24,Closed Won,1.0,2025-07-07,322350
Project 0241,2026-08-24,Qualified,0.35,2026-11-13,115600
Project 0241,2026-07-24,Qualified,0.35,2026-11-13,115600
Project 0241,2026-06-24,Qualified,0.35,2026-11-13,115600
Project 0241,2026-05-24,Qualified,0.35,2026-11-13,115600
Project 0241,2026-04-24,Qualified,0.35,2026-11-13,115600
Project 0241,2026-03-24,Qualified,0.35,2026-11-13,115600
Project 0242,2026-08-24,Prospect,0.15,2026-04-12,523750
Project 0242,2026-07-24,Prospect,0.15,2026-04-12,523750
Project 0242,2026-06-24,Prospect,0.15,2026-04-12,523750
Project 0242,2026-05-24,Prospect,0.15,2026-04-12,523750
Project 0242,2026-04-24,Prospect,0.15,2026-04-12,523750
Project 0242,2026-03-24,Prospect,0.15,2026-04-12,523750
Project 0243,2026-08-24,Closed Won,1.0,2026-05-10,370500
Project 0243,2026-07-24,Closed Won,1.0,2026-05-10,370500
Project 0243,2026-06-24,Closed Won,1.0,2026-05-10,370500
Project 0243,2026-05-24,Closed Won,1.0,2026-05-10,370500
Project 0243,2026-04-24,Closed Won,1.0,2026-05-10,370500
Project 0243,2026-03-24,Closed Won,1.0,2026-05-10,370500
Project 0244,2026-08-24,In Delivery,0.75,2027-03-12,522800
Project 0244,2026-07-24,In Delivery,0.75,2027-03-12,522800
Project 0244,2026-06-24,In Delivery,0.75,2027-03-12,522800
Project 0244,2026-05-24,In Delivery,0.75,2027-03-12,522800
Project 0244,2026-04-24,In Delivery,0.75,2027-03-12,522800
Project 0244,2026-03-24,In Delivery,0.75,2027-03-12,522800
Project 0245,2026-08-24,Closed Won,1.0,2026-01-04,439600
Project 0245,2026-07-24,Closed Won,1.0,2026-01-04,439600
Project 0245,2026-06-24,Closed Won,1.0,2026-01-04,439600
Project 0245,2026-05-24,Closed Won,1.0,2026-01-04,439600
Project 0245,2026-04-24,Closed Won,1.0,2026-01-04,439600
Project 0245,2026-03-24,Closed Won,1.0,2026-01-04,439600
Project 0246,2026-08-24,In Delivery,0.75,2027-01-06,1077250
Project 0246,2026-07-24,In Delivery,0.75,2027-01-06,1077250
Project 0246,2026-06-24,In Delivery,0.75,2027-01-06,1077250
Project 0246,2026-05-24,In Delivery,0.75,2027-01-06,1077250
Project 0246,2026-04-24,In Delivery,0.75,2027-01-06,1077250
Project 0246,2026-03-24,In Delivery,0.75,2027-01-06,1077250
Project 0247,2026-08-24,In Delivery,0.75,2026-07-23,293200
Project 0247,2026-07-24,In Delivery,0.75,2026-07-23,293200
Project 0247,2026-06-24,In Delivery,0.75,2026-07-23,293200
Project 0247,2026-05-24,In Delivery,0.75,2026-07-23,293200
Project 0247,2026-04-24,In Delivery,0.75,2026-07-23,293200
Project 0247,2026-03-24,In Delivery,0.75,2026-07-23,293200
Project 0248,2026-08-24,Prospect,0.15,2025-09-11,1365700
Project 0248,2026-07-24,Prospect,0.15,2025-09-11,1365700
Project 0248,2026-06-24,Prospect,0.15,2025-09-11,1365700
Project 0248,2026-05-24,Prospect,0.15,2025-09-11,1365700
Project 0248,2026-04-24,Prospect,0.15,2025-09-11,1365700
Project 0248,2026-03-24,Prospect,0.15,2025-09-11,1365700
Project 0249,2026-08-24,Prospect,0.15,2026-01-03,301350
Project 0249,2026-07-24,Prospect,0.15,2026-01-03,301350
Project 0249,2026-06-24,Prospect,0.15,2026-01-03,301350
Project 0249,2026-05-24,Prospect,0.15,2026-01-03,301350
Project 0249,2026-04-24,Prospect,0.15,2026-01-03,301350
Project 0249,2026-03-24,Prospect,0.15,2026-01-03,301350
Project 0250,2026-08-24,Qualified,0.35,2026-10-29,1659000
Project 0250,2026-07-24,Qualified,0.35,2026-10-29,1659000
Project 0250,2026-06-24,Qualified,0.35,2026-10-29,1659000
Project 0250,2026-05-24,Qualified,0.35,2026-10-29,1659000
Project 0250,2026-04-24,Qualified,0.35,2026-10-29,1659000
Project 0250,2026-03-24,Qualified,0.35,2026-10-29,1659000
Project 0251,2026-08-24,Closed Won,1.0,2025-12-31,211050
Project 0251,2026-07-24,Closed Won,1.0,2025-12-31,211050
Project 0251,2026-06-24,Closed Won,1.0,2025-12-31,211050
Project 0251,2026-05-24,Closed Won,1.0,2025-12-31,211050
Project 0251,2026-04-24,Closed Won,1.0,2025-12-31,211050
Project 0251,2026-03-24,Closed Won,1.0,2025-12-31,211050
Project 0252,2026-08-24,Closed Won,1.0,2026-05-06,735450
Project 0252,2026-07-24,Closed Won,1.0,2026-05-06,735450
Project 0252,2026-06-24,Closed Won,1.0,2026-05-06,735450
Project 0252,2026-05-24,Closed Won,1.0,2026-05-06,735450
Project 0252,2026-04-24,Closed Won,1.0,2026-05-06,735450
Project 0252,2026-03-24,Closed Won,1.0,2026-05-06,735450
Project 0253,2026-08-24,In Delivery,0.75,2026-09-01,1271600
Project 0253,2026-07-24,In Delivery,0.75,2026-09-01,1271600
Project 0253,2026-06-24,In Delivery,0.75,2026-09-01,1271600
Project 0253,2026-05-24,In Delivery,0.75,2026-09-01,1271600
Project 0253,2026-04-24,In Delivery,0.75,2026-09-01,1271600
Project 0253,2026-03-24,In Delivery,0.75,2026-09-01,1271600
Project 0254,2026-08-24,Qualified,0.35,2025-06-20,1369900
Project 0254,2026-07-24,Qualified,0.35,2025-06-20,1369900
Project 0254,2026-06-24,Qualified,0.35,2025-06-20,1369900
Project 0254,2026-05-24,Qualified,0.35,2025-06-20,1369900
Project 0254,2026-04-24,Qualified,0.35,2025-06-20,1369900
Project 0254,2026-03-24,Qualified,0.35,2025-06-20,1369900
Project 0255,2026-08-24,Qualified,0.35,2025-09-27,1137300
Project 0255,2026-07-24,Qualified,0.35,2025-09-27,1137300
Project 0255,2026-06-24,Qualified,0.35,2025-09-27,1137300
Project 0255,2026-05-24,Qualified,0.35,2025-09-27,1137300
Project 0255,2026-04-24,Qualified,0.35,2025-09-27,1137300
Project 0255,2026-03-24,Qualified,0.35,2025-09-27,1137300
Project 0256,2026-08-24,Closed Lost,0.0,2025-08-07,200900
Project 0256,2026-07-24,Closed Lost,0.0,2025-08-07,200900
Project 0256,2026-06-24,Closed Lost,0.0,2025-08-07,200900
Project 0256,2026-05-24,Closed Lost,0.0,2025-08-07,200900
Project 0256,2026-04-24,Closed Lost,0.0,2025-08-07,200900
Project 0256,2026-03-24,Closed Lost,0.0,2025-08-07,200900
Project 0257,2026-08-24,Qualified,0.35,2026-06-28,131600
Project 0257,2026-07-24,Qualified,0.35,2026-06-28,131600
Project 0257,2026-06-24,Qualified,0.35,2026-06-28,131600
Project 0257,2026-05-24,Qualified,0.35,2026-06-28,131600
Project 0257,2026-04-24,Qualified,0.35,2026-06-28,131600
Project 0257,2026-03-24,Qualified,0.35,2026-06-28,131600
Project 0258,2026-08-24,In Delivery,0.75,2026-02-05,336900
Project 0258,2026-07-24,In Delivery,0.75,2026-02-05,336900
Project 0258,2026-06-24,In Delivery,0.75,2026-02-05,336900
Project 0258,2026-05-24,In Delivery,0.75,2026-02-05,336900
Project 0258,2026-04-24,In Delivery,0.75,2026-02-05,336900
Project 0258,2026-03-24,In Delivery,0.75,2026-02-05,336900
Project 0259,2026-08-24,In Delivery,0.75,2025-03-13,733200
Project 0259,2026-07-24,In Delivery,0.75,2025-03-13,733200
Project 0259,2026-06-24,In Delivery,0.75,2025-03-13,733200
Project 0259,2026-05-24,In Delivery,0.75,2025-03-13,733200
Project 0259,2026-04-24,In Delivery,0.75,2025-03-13,733200
Project 0259,2026-03-24,In Delivery,0.75,2025-03-13,733200
Project 0260,2026-08-24,Qualified,0.35,2026-07-11,1236400
Project 0260,2026-07-24,Qualified,0.35,2026-07-11,1236400
Project 0260,2026-06-24,Qualified,0.35,2026-07-11,1236400
Project 0260,2026-05-24,Qualified,0.35,2026-07-11,1236400
Project 0260,2026-04-24,Qualified,0.35,2026-07-11,1236400
Project 0260,2026-03-24,Qualified,0.35,2026-07-11,1236400
Project 0261,2026-08-24,Closed Won,1.0,2026-05-13,1024000
Project 0261,2026-07-24,Closed Won,1.0,2026-05-13,1024000
Project 0261,2026-06-24,Closed Won,1.0,2026-05-13,1024000
Project 0261,2026-05-24,Closed Won,1.0,2026-05-13,1024000
Project 0261,2026-04-24,Closed Won,1.0,2026-05-13,1024000
Project 0261,2026-03-24,Closed Won,1.0,2026-05-13,1024000
Project 0262,2026-08-24,In Delivery,0.75,2025-10-11,361800
Project 0262,2026-07-24,In Delivery,0.75,2025-10-11,361800
Project 0262,2026-06-24,In Delivery,0.75,2025-10-11,361800
Project 0262,2026-05-24,In Delivery,0.75,2025-10-11,361800
Project 0262,2026-04-24,In Delivery,0.75,2025-10-11,361800
Project 0262,2026-03-24,In Delivery,0.75,2025-10-11,361800
Project 0263,2026-08-24,Closed Won,1.0,2026-04-02,204750
Project 0263,2026-07-24,Closed Won,1.0,2026-04-02,204750
Project 0263,2026-06-24,Closed Won,1.0,2026-04-02,204750
Project 0263,2026-05-24,Closed Won,1.0,2026-04-02,204750
Project 0263,2026-04-24,Closed Won,1.0,2026-04-02,204750
Project 0263,2026-03-24,Closed Won,1.0,2026-04-02,204750
Project 0264,2026-08-24,Qualified,0.35,2027-02-18,168350
Project 0264,2026-07-24,Qualified,0.35,2027-02-18,168350
Project 0264,2026-06-24,Qualified,0.35,2027-02-18,168350
Project 0264,2026-05-24,Qualified,0.35,2027-02-18,168350
Project 0264,2026-04-24,Qualified,0.35,2027-02-18,168350
Project 0264,2026-03-24,Qualified,0.35,2027-02-18,168350
Project 0265,2026-08-24,Prospect,0.15,2026-04-12,302000
Project 0265,2026-07-24,Prospect,0.15,2026-04-12,302000
Project 0265,2026-06-24,Prospect,0.15,2026-04-12,302000
Project 0265,2026-05-24,Prospect,0.15,2026-04-12,302000
Project 0265,2026-04-24,Prospect,0.15,2026-04-12,302000
Project 0265,2026-03-24,Prospect,0.15,2026-04-12,302000
Project 0266,2026-08-24,In Delivery,0.75,2026-12-30,65000
Project 0266,2026-07-24,In Delivery,0.75,2026-12-30,65000
Project 0266,2026-06-24,In Delivery,0.75,2026-12-30,65000
Project 0266,2026-05-24,In Delivery,0.75,2026-12-30,65000
Project 0266,2026-04-24,In Delivery,0.75,2026-12-30,65000
Project 0266,2026-03-24,In Delivery,0.75,2026-12-30,65000
Project 0267,2026-08-24,In Delivery,0.75,2026-06-02,1034700
Project 0267,2026-07-24,In Delivery,0.75,2026-06-02,1034700
Project 0267,2026-06-24,In Delivery,0.75,2026-06-02,1034700
Project 0267,2026-05-24,In Delivery,0.75,2026-06-02,1034700
Project 0267,2026-04-24,In Delivery,0.75,2026-06-02,1034700
Project 0267,2026-03-24,In Delivery,0.75,2026-06-02,1034700
Project 0268,2026-08-24,Qualified,0.35,2026-03-25,934000
