project_name,client_name,business_unit,stage,status,start_date,end_date,contract_value,billing_rate,planned_hours
Project 0295,Client 039,X Build,Qualified,Active,2024-11-05,2025-02-14,1595300,350,4558
Project 0296,Client 068,X Design,In Delivery,Active,2025-10-27,2026-01-13,1065300,300,3551
Project 0297,Client 097,Digital Ventures,Qualified,Active,2026-07-20,2027-05-07,486500,350,1390
Project 0298,Client 013,X Build,Qualified,Active,2025-06-26,2026-03-08,845600,400,2114
Project 0299,Client 021,X Design,Closed Won,Completed,2025-03-04,2025-10-09,829200,300,2764
Project 0300,Client 003,X Design,In Delivery,Active,2025-08-09,2025-12-04,106400,400,266
Project 0301,Client 035,X Design,In Delivery,Active,2024-12-19,2025-09-13,892200,300,2974
Project 0302,Client 069,X Build,Qualified,Active,2025-06-09,2025-09-12,1764400,400,4411
Project 0303,Client 062,X Design,In Delivery,Active,2025-10-18,2026-07-12,536100,150,3574
Project 0304,Client 084,Digital Ventures,In Delivery,Active,2024-11-06,2025-05-20,947700,300,3159
Project 0305,Client 005,X Build,Closed Won,Completed,2024-12-06,2025-05-18,130800,300,436
Project 0306,Client 032,X Build,Closed Won,Completed,2025-07-15,2026-05-01,104400,300,348
Project 0307,Client 014,X Build,In Delivery,Active,2025-04-12,2026-01-22,1082800,400,2707
Project 0308,Client 091,X Build,Qualified,Active,2025-09-18,2026-08-01,270150,150,1801
Project 0309,Client 035,X Design,In Delivery,Active,2026-02-10,2026-12-28,385000,200,1925
Project 0310,Client 012,Digital Ventures,In Delivery,Active,2026-05-16,2027-03-15,1391100,300,4637
Project 0311,Client 030,X Design,Qualified,Active,2025-06-22,2026-06-07,585000,200,2925
Project 0312,Client 073,Digital Ventures,Closed Won,Completed,2026-08-18,2026-10-30,83250,250,333
Project 0313,Client 020,X Design,Qualified,Active,2025-05-16,2026-02-05,1106250,250,4425
Project 0314,Client 036,Digital Ventures,In Delivery,Active,2025-12-15,2026-11-28,327750,150,2185
Project 0315,Client 013,X Build,In Delivery,Active,2025-12-30,2026-03-24,533200,400,1333
Project 0316,Client 068,X Build,Prospect,Active,2025-03-06,2025-07-22,632800,200,3164
Project 0317,Client 078,X Design,In Delivery,Active,2024-11-10,2025-02-08,1326900,300,4423
Project 0318,Client 002,Digital Ventures,Qualified,Active,2024-10-22,2025-02-01,1077600,400,2694
Project 0319,Client 011,X Design,Prospect,Active,2025-09-14,2026-03-22,430600,200,2153
Project 0320,Client 073,X Design,Prospect,Active,2026-05-18,2026-12-12,164000,250,656
Project 0321,Client 004,Digital Ventures,Qualified,Active,2024-12-24,2025-11-08,179700,300,599
Project 0322,Client 038,Digital Ventures,Qualified,Active,2026-01-16,2026-07-18,704400,300,2348
Project 0323,Client 099,Digital Ventures,Closed Won,Completed,2024-09-21,2025-01-20,512400,300,1708
Project 0324,Client 086,X Build,In Delivery,Active,2025-05-27,2026-03-11,1291600,400,3229
Project 0325,Client 079,X Build,Prospect,Active,2025-07-16,2026-05-17,1872400,400,4681
Project 0326,Client 090,X Design,Closed Won,Completed,2026-08-12,2027-05-11,165000,150,1100
Project 0327,Client 036,X Build,In Delivery,Active,2026-03-05,2026-10-10,904750,350,2585
Project 0328,Client 055,X Build,Prospect,Active,2024-09-21,2025-08-02,1248750,250,4995
Project 0329,Client 082,Digital Ventures,In Delivery,Active,2024-12-09,2025-10-16,223500,300,745
Project 0330,Client 021,X Design,Qualified,Active,2025-06-29,2025-10-08,580650,350,1659
Project 0331,Client 002,X Build,Closed Won,Completed,2026-04-27,2026-11-01,660000,150,4400
Project 0332,Client 028,Digital Ventures,Qualified,Active,2026-01-05,2026-12-07,88200,200,441
Project 0333,Client 017,Digital Ventures,In Delivery,Active,2026-02-06,2026-06-24,243750,250,975
Project 0334,Client 043,X Build,In Delivery,Active,2026-02-06,2026-07-02,821800,350,2348
Project 0335,Client 005,X Build,Prospect,Active,2024-10-30,2025-01-14,151750,250,607
Project 0336,Client 052,Digital Ventures,Qualified,Active,2026-01-09,2026-07-26,860000,400,2150
Project 0337,Client 005,X Design,Closed Won,Completed,2025-02-08,2025-12-25,823800,300,2746
Project 0338,Client 096,X Build,Closed Won,Completed,2025-02-21,2025-08-10,553400,200,2767
Project 0339,Client 036,X Design,Qualified,Active,2025-09-30,2026-01-16,605850,150,4039
Project 0340,Client 062,Digital Ventures,Qualified,Active,2026-01-20,2026-07-17,276000,150,1840
Project 0341,Client 013,X Build,Closed Lost,Active,2024-11-11,2025-09-24,718800,300,2396
Project 0342,Client 010,Digital Ventures,Closed Won,Completed,2026-01-11,2026-03-22,1254900,300,4183
Project 0343,Client 089,X Design,Prospect,Active,2024-10-29,2025-04-30,364500,150,2430
Project 0344,Client 051,X Design,Closed Won,Completed,2026-03-06,2027-02-16,798300,300,2661
Project 0345,Client 094,Digital Ventures,Prospect,Active,2026-04-25,2026-07-25,1047000,250,4188
Project 0346,Client 008,X Design,Closed Won,Completed,2026-03-29,2026-10-23,291200,200,1456
Project 0347,Client 086,X Design,Closed Won,Completed,2026-02-03,2026-12-15,253800,300,846
Project 0348,Client 029,X Build,Closed Lost,Active,2025-05-16,2026-03-29,834300,300,2781
Project 0349,Client 044,X Build,Closed Won,Completed,2024-12-26,2025-05-22,96400,200,482
Project 0350,Client 003,Digital Ventures,Qualified,Active,2025-09-06,2026-05-07,933800,350,2668
Project 0351,Client 025,X Build,Prospect,Active,2026-07-26,2027-07-15,77700,350,222
Project 0352,Client 001,X Build,Prospect,Active,2024-11-07,2025-03-18,112200,200,561
Project 0353,Client 021,X Design,Closed Won,Completed,2025-04-21,2025-06-29,411000,200,2055
Project 0354,Client 009,X Design,In Delivery,Active,2026-05-05,2026-07-16,224400,200,1122
Project 0355,Client 078,X Design,Closed Won,Completed,2026-08-13,2027-05-08,205200,400,513
Project 0356,Client 058,Digital Ventures,Closed Won,Completed,2026-06-16,2027-03-13,708500,250,2834
Project 0357,Client 026,X Build,Qualified,Active,2025-03-07,2025-12-18,248600,200,1243
Project 0358,Client 046,X Build,In Delivery,Active,2026-02-04,2026-05-12,778050,350,2223
Project 0359,Client 003,X Build,Qualified,Active,2026-01-16,2026-03-30,756000,300,2520
Project 0360,Client 030,X Design,In Delivery,Active,2025-03-07,2025-10-14,1258800,400,3147
Project 0361,Client 022,X Build,In Delivery,Active,2025-10-10,2026-07-07,1037700,300,3459
Project 0362,Client 048,X Build,Closed Won,Completed,2024-09-20,2024-12-07,952200,300,3174
Project 0363,Client 063,X Build,Prospect,Active,2026-02-23,2026-09-16,671700,150,4478
Project 0364,Client 017,X Design,In Delivery,Active,2026-04-29,2026-12-05,752500,250,3010
Project 0365,Client 075,Digital Ventures,In Delivery,Active,2025-02-12,2025-06-29,884000,400,2210
Project 0366,Client 010,X Design,In Delivery,Active,2025-04-07,2025-08-05,1284850,350,3671
Project 0367,Client 070,X Build,Prospect,Active,2025-12-14,2026-06-09,1558400,400,3896
Project 0368,Client 046,X Design,Closed Won,Completed,2025-06-25,2025-09-27,983500,350,2810
Project 0369,Client 005,X Design,Closed Won,Completed,2026-06-12,2027-02-18,330450,150,2203
Project 0370,Client 057,X Design,In Delivery,Active,2024-11-22,2025-10-27,986600,200,4933
Project 0371,Client 057,Digital Ventures,Prospect,Active,2025-08-26,2026-04-30,265500,300,885
Project 0372,Client 030,X Design,Closed Won,Completed,2025-07-13,2025-12-25,1695050,350,4843
Project 0373,Client 010,X Design,Qualified,Active,2025-11-28,2026-05-26,108600,300,362
Project 0374,Client 056,Digital Ventures,Qualified,Active,2025-02-15,2025-11-29,161600,400,404
Project 0375,Client 068,X Design,Prospect,Active,2025-06-10,2025-08-29,624250,250,2497
Project 0376,Client 075,Digital Ventures,Qualified,Active,2024-10-22,2025-08-25,668200,200,3341
Project 0377,Client 057,X Build,Closed Won,Completed,2025-04-20,2025-11-07,329800,200,1649
Project 0378,Client 037,X Build,Closed Lost,Active,2025-01-03,2025-10-07,963000,250,3852
Project 0379,Client 050,X Build,In Delivery,Active,2025-06-06,2026-01-12,1403700,300,4679
Project 0380,Client 061,X Build,Qualified,Active,2025-01-09,2025-08-08,119550,150,797
Project 0381,Client 049,X Build,Closed Won,Completed,2025-06-28,2025-11-20,343500,150,2290
Project 0382,Client 074,X Build,In Delivery,Active,2024-12-23,2025-04-26,686800,400,1717
Project 0383,Client 051,X Build,Prospect,Active,2026-05-19,2026-12-08,667400,200,3337
Project 0384,Client 099,Digital Ventures,Closed Won,Completed,2025-01-31,2025-08-16,1953200,400,4883
Project 0385,Client 068,X Design,Closed Won,Completed,2025-03-11,2025-10-10,797650,350,2279
Project 0386,Client 092,X Design,Closed Won,Completed,2026-06-07,2027-03-07,1046850,350,2991
Project 0387,Client 025,X Design,Qualified,Active,2026-07-30,2026-12-02,649600,200,3248
Project 0388,Client 006,Digital Ventures,Qualified,Active,2025-02-17,2025-11-30,190050,150,1267
Project 0389,Client 051,Digital Ventures,In Delivery,Active,2025-06-24,2026-03-07,525200,200,2626
Project 0390,Client 036,X Build,Qualified,Active,2025-05-06,2026-04-27,1157100,300,3857
Project 0391,Client 042,X Design,In Delivery,Active,2026-05-13,2027-02-06,1941600,400,4854
Project 0392,Client 040,X Design,Closed Won,Completed,2025-12-09,2026-11-16,755500,250,3022
Project 0393,Client 004,X Design,Prospect,Active,2024-10-06,2025-03-21,1190000,350,3400
Project 0394,Client 012,Digital Ventures,In Delivery,Active,2025-02-27,2025-09-11,495250,250,1981
Project 0395,Client 013,X Design,In Delivery,Active,2025-03-10,2025-10-13,270900,350,774
Project 0396,Client 027,X Build,Prospect,Active,2025-01-31,2025-12-03,265000,200,1325
Project 0397,Client 099,X Build,In Delivery,Active,2024-10-28,2025-05-08,780000,300,2600
Project 0398,Client 083,X Build,Qualified,Active,2025-04-26,2025-11-05,139200,300,464
Project 0399,Client 088,X Design,In Delivery,Active,2025-05-25,2026-02-21,957000,300,3190
Project 0400,Client 090,X Design,Closed Won,Completed,2025-11-21,2026-06-24,236100,300,787
Project 0401,Client 051,Digital Ventures,Closed Won,Completed,2025-02-25,2025-06-05,569400,300,1898
Project 0402,Client 022,X Build,Prospect,Active,2025-11-19,2026-07-12,194700,150,1298
Project 0403,Client 016,X Design,Closed Won,Completed,2025-11-09,2026-08-07,749600,400,1874
Project 0404,Client 020,X Build,Qualified,Active,2026-07-09,2027-03-26,340500,300,1135
Project 0405,Client 015,Digital Ventures,Closed Won,Completed,2025-03-27,2026-03-15,263500,250,1054
Project 0406,Client 100,X Build,Prospect,Active,2025-10-27,2026-05-16,537600,350,1536
Project 0407,Client 097,X Design,Closed Won,Completed,2026-01-30,2026-10-26,1241400,300,4138
Project 0408,Client 038,X Design,In Delivery,Active,2024-12-30,2025-04-14,663500,250,2654
Project 0409,Client 030,Digital Ventures,Closed Won,Completed,2025-02-24,2025-09-18,415600,400,1039
Project 0410,Client 026,X Design,Prospect,Active,2025-11-17,2026-10-12,119250,150,795
Project 0411,Client 051,Digital Ventures,Qualified,Active,2026-06-03,2026-11-19,325050,150,2167
Project 0412,Client 063,X Build,Closed Won,Completed,2026-03-05,2026-11-25,759300,300,2531
Project 0413,Client 038,X Build,Qualified,Active,2025-07-23,2026-01-18,1478400,300,4928
Project 0414,Client 052,X Build,In Delivery,Active,2025-12-03,2026-07-11,1084800,400,2712
Project 0415,Client 041,Digital Ventures,Closed Won,Completed,2025-09-25,2026-07-03,294300,150,1962
Project 0416,Client 012,Digital Ventures,Closed Won,Completed,2026-06-24,2027-01-27,1472800,350,4208
Project 0417,Client 021,X Build,Qualified,Active,2025-05-13,2026-03-23,957800,200,4789
Project 0418,Client 061,X Build,Qualified,Active,2024-10-10,2025-06-27,1035000,250,4140
Project 0419,Client 008,X Build,In Delivery,Active,2025-05-02,2025-09-03,235200,200,1176
Project 0420,Client 046,Digital Ventures,In Delivery,Active,2025-06-13,2025-10-26,494100,300,1647
Project 0421,Client 021,Digital Ventures,Prospect,Active,2024-12-28,2025-10-15,990800,200,4954
Project 0422,Client 055,Digital Ventures,Qualified,Active,2026-02-27,2026-09-06,1680000,350,4800
Project 0423,Client 086,X Design,Prospect,Active,2026-06-10,2026-10-14,388400,400,971
Project 0424,Client 038,X Design,Qualified,Active,2025-01-18,2025-06-13,389100,150,2594
Project 0425,Client 006,X Design,Closed Won,Completed,2025-01-29,2025-12-22,598950,150,3993
Project 0426,Client 099,X Design,Closed Won,Completed,2025-06-02,2025-11-01,730200,200,3651
Project 0427,Client 008,Digital Ventures,In Delivery,Active,2026-07-07,2027-03-13,1998400,400,4996
Project 0428,Client 054,X Design,Closed Won,Completed,2024-09-20,2025-03-04,1713950,350,4897
Project 0429,Client 041,Digital Ventures,Qualified,Active,2025-01-31,2025-09-30,727200,150,4848
Project 0430,Client 046,X Build,In Delivery,Active,2025-09-26,2026-03-31,429250,250,1717
Project 0431,Client 072,X Build,Qualified,Active,2025-09-27,2026-02-05,972750,250,3891
Project 0432,Client 092,X Design,Closed Won,Completed,2025-12-28,2026-05-26,1238650,350,3539
Project 0433,Client 049,Digital Ventures,Closed Won,Completed,2025-06-20,2026-03-21,149200,400,373
Project 0434,Client 036,X Design,Closed Won,Completed,2024-10-21,2025-04-25,1269900,300,4233
Project 0435,Client 097,X Design,Prospect,Active,2026-06-02,2026-11-21,592200,300,1974
Project 0436,Client 066,Digital Ventures,Qualified,Active,2026-05-12,2027-01-28,841200,200,4206
Project 0437,Client 073,X Build,In Delivery,Active,2025-02-08,2025-08-04,221800,200,1109
Project 0438,Client 002,X Build,Prospect,Active,2025-05-28,2025-12-28,291000,300,970
Project 0439,Client 035,Digital Ventures,Prospect,Active,2026-06-05,2027-04-28,724200,200,3621
Project 0440,Client 062,X Build,In Delivery,Active,2025-09-02,2026-06-01,439600,200,2198
Project 0441,Client 021,X Design,Qualified,Active,2025-11-04,2026-10-13,244650,150,1631
Project 0442,Client 053,X Design,Closed Won,Completed,2025-08-15,2025-12-25,1000300,350,2858
Project 0443,Client 028,Digital Ventures,Closed Won,Completed,2025-05-31,2026-02-09,1037700,300,3459
Project 0444,Client 057,X Design,Closed Won,Completed,2025-02-11,2025-09-18,567500,250,2270
Project 0445,Client 037,Digital Ventures,Closed Won,Completed,2025-06-11,2026-01-12,840000,200,4200
Project 0446,Client 020,Digital Ventures,Prospect,Active,2026-02-13,2026-05-30,268650,150,1791
Project 0447,Client 011,X Build,Prospect,Active,2025-07-02,2026-01-03,333900,300,1113
Project 0448,Client 056,X Design,Prospect,Active,2025-07-29,2026-03-21,271250,350,775
Project 0449,Client 075,X Build,In Delivery,Active,2025-08-14,2025-12-18,420000,200,2100
Project 0450,Client 051,X Design,Qualified,Active,2025-08-27,2026-06-16,551200,400,1378
Project 0451,Client 037,X Design,Qualified,Active,2025-03-01,2025-08-29,388500,350,1110
Project 0452,Client 073,X Build,Qualified,Active,2024-09-16,2025-08-15,1343200,400,3358
Project 0453,Client 096,X Design,Prospect,Active,2025-04-12,2025-09-27,1741600,400,4354
Project 0454,Client 086,X Build,In Delivery,Active,2025-10-24,2026-06-02,515400,150,3436
Project 0455,Client 051,X Design,Closed Won,Completed,2025-02-17,2025-08-04,286500,250,1146
Project 0456,Client 011,Digital Ventures,Prospect,Active,2025-03-10,2026-03-04,956700,300,3189
Project 0457,Client 099,X Build,In Delivery,Active,2025-11-18,2026-05-21,1096800,300,3656
Project 0458,Client 099,X Design,In Delivery,Active,2025-06-16,2026-05-14,715800,300,2386
Project 0459,Client 028,X Build,In Delivery,Active,2026-03-13,2026-05-19,787000,200,3935
Project 0460,Client 091,X Build,In Delivery,Active,2024-11-04,2025-03-07,964400,400,2411
Project 0461,Client 021,X Design,In Delivery,Active,2025-02-12,2025-08-30,715750,350,2045
Project 0462,Client 041,X Design,Closed Won,Completed,2026-02-22,2026-05-12,236250,350,675
Project 0463,Client 052,X Design,Prospect,Active,2024-10-28,2025-04-13,270500,250,1082
Project 0464,Client 064,X Build,In Delivery,Active,2026-01-21,2026-10-10,271500,150,1810
Project 0465,Client 051,Digital Ventures,Qualified,Active,2026-06-04,2026-11-02,934000,250,3736
Project 0466,Client 073,X Build,Closed Won,Completed,2026-03-15,2026-06-30,1056650,350,3019
Project 0467,Client 067,Digital Ventures,Qualified,Active,2025-01-27,2026-01-15,1033750,250,4135
Project 0468,Client 080,X Design,Prospect,Active,2024-09-23,2025-09-04,456800,400,1142
Project 0469,Client 010,X Design,In Delivery,Active,2024-10-11,2025-02-01,1448000,400,3620
Project 0470,Client 024,Digital Ventures,In Delivery,Active,2026-02-12,2026-09-28,142800,300,476
Project 0471,Client 019,X Design,Qualified,Active,2025-10-26,2026-06-05,1740800,400,4352
Project 0472,Client 065,X Build,In Delivery,Active,2024-11-16,2025-03-22,1763200,400,4408
Project 0473,Client 008,X Build,In Delivery,Active,2026-04-06,2027-01-22,1105300,350,3158
Project 0474,Client 066,Digital Ventures,Closed Won,Completed,2024-10-18,2025-01-20,60000,150,400
Project 0475,Client 030,Digital Ventures,Prospect,Active,2025-08-06,2026-06-21,707200,200,3536
Project 0476,Client 096,X Design,Prospect,Active,2026-02-18,2026-10-08,906500,250,3626
Project 0477,Client 066,X Build,Prospect,Active,2025-09-01,2025-11-15,582500,250,2330
Project 0478,Client 031,X Design,In Delivery,Active,2026-08-12,2027-04-12,949000,200,4745
Project 0479,Client 027,X Design,Qualified,Active,2024-12-01,2025-03-25,1260400,400,3151
Project 0480,Client 053,X Build,Qualified,Active,2026-01-04,2026-08-09,268200,150,1788
Project 0481,Client 031,X Build,In Delivery,Active,2025-11-17,2026-08-17,608700,150,4058
Project 0482,Client 014,X Design,Closed Won,Completed,2024-11-03,2025-06-10,536700,300,1789
Project 0483,Client 030,Digital Ventures,Closed Won,Completed,2025-07-13,2025-10-02,423850,350,1211
Project 0484,Client 098,Digital Ventures,Prospect,Active,2025-11-08,2026-09-11,494000,400,1235
Project 0485,Client 096,X Design,Prospect,Active,2026-03-24,2027-02-20,292800,200,1464
Project 0486,Client 028,Digital Ventures,Closed Won,Completed,2025-07-31,2026-03-04,722800,200,3614
Project 0487,Client 082,Digital Ventures,Closed Won,Completed,2024-10-20,2025-03-28,1108000,250,4432
Project 0488,Client 056,Digital Ventures,Closed Won,Completed,2026-02-08,2026-07-29,195900,150,1306
Project 0489,Client 023,X Build,Prospect,Active,2024-12-01,2025-07-23,134000,200,670
Project 0490,Client 068,Digital Ventures,Closed Won,Completed,2025-03-20,2026-02-15,338400,300,1128
Project 0491,Client 042,X Build,Closed Won,Completed,2024-11-11,2025-10-29,1448400,300,4828
Project 0492,Client 078,Digital Ventures,Qualified,Active,2025-09-04,2026-03-28,418050,150,2787
Project 0493,Client 013,Digital Ventures,Qualified,Active,2026-08-12,2027-05-08,163650,150,1091
Project 0494,Client 087,X Build,Closed Won,Completed,2026-03-12,2026-08-18,741600,150,4944
Project 0495,Client 028,X Design,Prospect,Active,2025-11-24,2026-01-25,1252800,300,4176
Project 0496,Client 100,X Build,In Delivery,Active,2025-04-24,2025-08-26,1026000,300,3420
Project 0497,Client 054,X Design,Qualified,Active,2026-07-07,2026-12-31,262200,150,1748
Project 0498,Client 037,X Design,In Delivery,Active,2025-02-13,2025-04-26,460000,200,2300
Project 0499,Client 035,X Build,Qualified,Active,2025-07-23,2026-02-05,330750,150,2205
Project 0500,Client 029,Digital Ventures,Closed Won,Completed,2026-02-24,2026-05-18,429150,150,2861
Project 0501,Client 028,Digital Ventures,Closed Won,Completed,2026-01-07,2026-07-04,480300,300,1601
Project 0502,Client 042,Digital Ventures,Qualified,Active,2025-04-10,2025-12-06,775000,200,3875
Project 0503,Client 007,X Build,Qualified,Active,2025-06-30,2026-01-09,598400,200,2992
Project 0504,Client 016,Digital Ventures,Qualified,Active,2024-11-25,2025-02-04,1267500,300,4225
Project 0505,Client 075,X Build,In Delivery,Active,2024-12-10,2025-07-17,351600,300,1172
Project 0506,Client 004,Digital Ventures,In Delivery,Active,2026-01-23,2026-05-21,1321250,350,3775
Project 0507,Client 079,Digital Ventures,Closed Won,Completed,2026-01-11,2026-10-02,480800,200,2404
Project 0508,Client 005,X Design,In Delivery,Active,2026-05-13,2026-11-07,143000,200,715
Project 0509,Client 017,Digital Ventures,In Delivery,Active,2025-11-20,2026-09-08,1221300,300,4071
Project 0510,Client 025,X Design,Closed Won,Completed,2025-06-10,2025-09-03,694000,200,3470
Project 0511,Client 095,Digital Ventures,Qualified,Active,2025-05-26,2025-09-30,231000,350,660
Project 0512,Client 054,X Build,Qualified,Active,2026-05-15,2027-02-14,381600,300,1272
Project 0513,Client 052,X Build,Closed Won,Completed,2026-08-20,2027-01-10,996200,200,4981
Project 0514,Client 015,X Build,Qualified,Active,2025-06-29,2026-04-10,379200,200,1896
Project 0515,Client 086,X Design,Closed Won,Completed,2025-11-04,2026-03-05,1080000,400,2700
Project 0516,Client 003,X Design,In Delivery,Active,2026-01-14,2026-10-22,892150,350,2549
Project 0517,Client 033,X Build,Closed Won,Completed,2025-04-19,2026-02-07,830100,300,2767
Project 0518,Client 070,X Build,Closed Lost,Active,2025-03-20,2025-10-21,516000,200,2580
Project 0519,Client 064,Digital Ventures,Prospect,Active,2025-02-11,2025-10-12,627000,300,2090
Project 0520,Client 087,Digital Ventures,Closed Lost,Active,2025-11-24,2026-02-10,83400,150,556
Project 0521,Client 029,Digital Ventures,Qualified,Active,2025-07-31,2026-06-15,440200,200,2201
Project 0522,Client 008,X Build,Qualified,Active,2025-12-23,2026-10-25,374000,250,1496
Project 0523,Client 065,Digital Ventures,Closed Won,Completed,2025-04-17,2025-09-17,817500,300,2725
Project 0524,Client 086,X Build,In Delivery,Active,2025-01-02,2025-10-30,1344600,300,4482
Project 0525,Client 092,X Design,In Delivery,Active,2026-06-12,2026-09-15,1551200,350,4432
Project 0526,Client 072,Digital Ventures,Closed Won,Completed,2025-10-07,2026-01-29,725100,300,2417
Project 0527,Client 045,X Design,Qualified,Active,2025-05-31,2025-12-17,1097600,350,3136
Project 0528,Client 032,X Build,Closed Won,Completed,2025-02-25,2025-09-01,415250,250,1661
Project 0529,Client 094,Digital Ventures,Closed Won,Completed,2025-07-17,2026-01-09,1006000,250,4024
Project 0530,Client 018,X Build,Prospect,Active,2024-09-06,2024-11-21,907500,250,3630
Project 0531,Client 068,X Build,Qualified,Active,2026-05-26,2026-10-14,771050,350,2203
Project 0532,Client 087,X Design,Qualified,Active,2025-07-17,2026-01-08,123550,350,353
Project 0533,Client 098,X Build,Closed Won,Completed,2026-02-13,2027-01-16,189600,150,1264
Project 0534,Client 076,X Design,Qualified,Active,2024-11-02,2025-04-09,1236500,250,4946
Project 0535,Client 040,X Build,Closed Won,Completed,2026-02-07,2026-09-08,399600,300,1332
Project 0536,Client 093,X Build,Qualified,Active,2026-06-02,2027-03-30,475800,200,2379
Project 0537,Client 099,X Build,Qualified,Active,2025-04-18,2026-03-14,1762800,400,4407
Project 0538,Client 036,X Design,In Delivery,Active,2026-07-16,2027-03-21,397500,250,1590
Project 0539,Client 057,X Build,Closed Won,Completed,2026-08-21,2027-08-05,556600,200,2783
Project 0540,Client 053,X Design,In Delivery,Active,2025-01-21,2025-11-30,167300,350,478
Project 0541,Client 040,Digital Ventures,In Delivery,Active,2025-02-05,2025-08-21,1209600,300,4032
Project 0542,Client 051,X Design,Qualified,Active,2026-01-25,2026-03-28,1174600,350,3356
Project 0543,Client 041,X Build,Closed Won,Completed,2026-07-18,2027-05-12,1277700,300,4259
Project 0544,Client 025,Digital Ventures,Closed Won,Completed,2025-03-01,2025-11-05,409800,200,2049
Project 0545,Client 039,X Design,Qualified,Active,2026-07-09,2027-04-22,1197750,250,4791
Project 0546,Client 031,X Design,Qualified,Active,2025-11-26,2026-03-24,436200,150,2908
Project 0547,Client 081,Digital Ventures,Closed Won,Completed,2025-12-14,2026-02-20,947600,200,4738
Project 0548,Client 025,Digital Ventures,In Delivery,Active,2025-02-11,2025-07-31,445950,150,2973
Project 0549,Client 051,X Build,Closed Won,Completed,2026-02-15,2026-11-18,450000,150,3000
Project 0550,Client 023,X Design,Closed Won,Completed,2026-02-08,2026-04-09,1099750,250,4399
Project 0551,Client 041,X Build,Closed Won,Completed,2025-01-09,2025-11-15,279150,150,1861
Project 0552,Client 003,X Build,Prospect,Active,2025-09-19,2026-07-20,1950800,400,4877
Project 0553,Client 065,X Build,Closed Won,Completed,2026-02-23,2026-11-01,454650,350,1299
Project 0554,Client 068,X Design,Qualified,Active,2025-02-27,2025-09-02,1216200,300,4054
Project 0555,Client 058,X Build,Prospect,Active,2025-07-02,2025-11-16,72600,300,242
Project 0556,Client 083,X Build,Closed Lost,Active,2025-10-14,2026-05-29,1498800,300,4996
Project 0557,Client 064,X Design,In Delivery,Active,2025-03-18,2026-01-11,1442800,400,3607
Project 0558,Client 020,Digital Ventures,In Delivery,Active,2025-02-16,2025-07-14,740750,250,2963
Project 0559,Client 057,X Build,Qualified,Active,2025-08-14,2025-11-03,684400,200,3422
Project 0560,Client 083,Digital Ventures,Prospect,Active,2024-12-07,2025-11-03,869250,250,3477
Project 0561,Client 053,Digital Ventures,Prospect,Active,2026-05-04,2026-07-14,1427700,300,4759
Project 0562,Client 057,X Design,Prospect,Active,2026-05-20,2026-07-23,50850,150,339
Project 0563,Client 019,X Design,In Delivery,Active,2026-07-23,2026-11-09,271750,250,1087
Project 0564,Client 068,X Build,Qualified,Active,2025-02-12,2025-09-26,669200,400,1673
Project 0565,Client 054,X Build,In Delivery,Active,2026-01-22,2026-07-28,1586000,400,3965
Project 0566,Client 062,X Build,Prospect,Active,2025-02-02,2025-11-06,444150,150,2961
Project 0567,Client 069,X Design,Closed Lost,Active,2025-02-01,2025-09-17,1027600,400,2569
Project 0568,Client 071,Digital Ventures,Closed Won,Completed,2024-10-05,2025-06-25,708000,150,4720
Project 0569,Client 074,X Design,In Delivery,Active,2024-11-27,2025-11-01,81400,200,407
Project 0570,Client 020,Digital Ventures,Closed Lost,Active,2024-10-25,2025-08-10,891500,250,3566
Project 0571,Client 099,Digital Ventures,Qualified,Active,2025-07-18,2025-12-08,718500,300,2395
Project 0572,Client 027,X Design,In Delivery,Active,2026-04-13,2027-01-04,1219600,400,3049
Project 0573,Client 059,X Design,In Delivery,Active,2025-06-08,2025-11-14,1942000,400,4855
Project 0574,Client 053,Digital Ventures,Closed Won,Completed,2026-03-24,2027-02-12,322000,250,1288
Project 0575,Client 100,X Design,Qualified,Active,2025-12-20,2026-11-22,1117900,350,3194
Project 0576,Client 007,X Build,Qualified,Active,2025-10-28,2026-03-04,72450,150,483
Project 0577,Client 046,X Design,In Delivery,Active,2024-11-13,2025-03-25,42300,150,282
Project 0578,Client 054,X Design,Closed Won,Completed,2024-11-06,2025-10-14,150000,400,375
Project 0579,Client 004,X Build,Prospect,Active,2025-08-23,2026-07-19,234600,150,1564
Project 0580,Client 042,X Design,In Delivery,Active,2026-07-13,2026-10-21,948600,300,3162
Project 0581,Client 096,Digital Ventures,Closed Won,Completed,2026-03-27,2026-09-13,592650,150,3951
Project 0582,Client 043,X Design,Prospect,Active,2025-08-24,2025-12-30,447600,150,2984
Project 0583,Client 075,X Design,Prospect,Active,2025-10-15,2026-05-23,52000,200,260
Project 0584,Client 019,Digital Ventures,Qualified,Active,2025-09-21,2025-12-27,345200,200,1726
Project 0585,Client 008,Digital Ventures,Qualified,Active,2024-12-30,2025-10-23,989250,250,3957
Project 0586,Client 060,X Build,Closed Won,Completed,2024-12-14,2025-12-03,1102400,400,2756
Project 0587,Client 085,X Design,Closed Won,Completed,2025-02-03,2025-10-07,988800,200,4944
Project 0588,Client 040,X Design,In Delivery,Active,2026-02-18,2026-12-04,1164500,250,4658
Project 0589,Client 022,Digital Ventures,In Delivery,Active,2025-03-13,2025-07-13,467400,300,1558
