project_name,month,actual_hours,actual_revenue,actual_cost
Project 0052,2025-05-01,110.38,24873.1,14344.16
Project 0052,2025-06-01,124.75,31409.21,19645.76
Project 0052,2025-07-01,81.8,27740.55,15333.5
Project 0052,2025-08-01,85.54,32583.27,20825.79
Project 0052,2025-09-01,120.18,31505.7,20600.93
Project 0052,2025-10-01,110.18,28962.52,21498.2
Project 0052,2025-11-01,105.16,29344.9,16225.0
Project 0052,2025-12-01,105.96,24044.42,17726.7
Project 0052,2026-01-01,124.42,32027.26,20996.01
Project 0052,2026-02-01,117.95,31227.08,21222.12
Project 0052,2026-03-01,101.08,26663.57,19239.99
Project 0052,2026-04-01,121.74,26255.13,15647.04
Project 0052,2026-05-01,108.39,30836.81,21583.29
Project 0052,2026-06-01,122.15,27665.29,18715.41
Project 0052,2026-07-01,108.75,26150.98,15883.14
Project 0052,2026-08-01,97.88,26205.19,18880.48
Project 0053,2024-09-01,318.67,19190.05,12058.9
Project 0053,2024-10-01,354.85,17559.71,11777.59
Project 0053,2024-11-01,256.29,22177.06,12848.92
Project 0053,2024-12-01,318.94,21638.91,12708.87
Project 0053,2025-01-01,334.65,17599.35,11277.2
Project 0053,2025-02-01,271.37,20362.68,12752.05
Project 0053,2025-03-01,262.09,22568.03,14698.36
Project 0053,2025-04-01,260.99,21560.24,13648.56
Project 0053,2025-05-01,292.73,19980.75,12825.65
Project 0053,2025-06-01,306.57,18240.97,12310.36
Project 0053,2025-07-01,238.83,20243.86,13689.04
Project 0053,2025-08-01,300.58,22309.9,15461.95
Project 0053,2025-09-01,341.74,19578.77,14408.34
Project 0053,2025-10-01,286.92,17012.91,10692.21
Project 0053,2025-11-01,246.07,18535.12,13210.41
Project 0053,2025-12-01,298.9,15990.36,10911.43
Project 0053,2026-01-01,348.45,17173.05,12325.27
Project 0053,2026-02-01,283.54,18988.82,11342.28
Project 0053,2026-03-01,246.88,20772.19,14250.71
Project 0053,2026-04-01,259.58,21546.84,15584.52
Project 0053,2026-05-01,349.36,15973.53,9163.57
Project 0053,2026-06-01,262.41,20191.99,14483.93
Project 0053,2026-07-01,247.34,19272.72,12800.91
Project 0053,2026-08-01,316.38,18553.5,13476.9
Project 0054,2024-09-01,130.21,25590.57,14149.1
Project 0054,2024-10-01,137.39,27161.55,16974.06
Project 0054,2024-11-01,139.16,23440.34,17507.32
Project 0054,2024-12-01,149.99,24530.57,17301.35
Project 0054,2025-01-01,132.7,28816.74,19369.81
Project 0054,2025-02-01,112.69,29976.17,19099.22
Project 0054,2025-03-01,136.52,23832.86,15090.91
Project 0054,2025-04-01,117.7,28793.13,18788.0
Project 0054,2025-05-01,143.25,27060.48,18844.23
Project 0054,2025-06-01,172.03,25347.51,16383.63
Project 0054,2025-07-01,164.4,27127.13,16413.19
Project 0054,2025-08-01,156.89,22417.39,14495.14
Project 0054,2025-09-01,174.44,30215.83,19030.59
Project 0054,2025-10-01,137.75,25648.01,15771.24
Project 0054,2025-11-01,160.16,29125.62,18807.25
Project 0054,2025-12-01,131.47,22127.4,13463.65
Project 0054,2026-01-01,117.3,29404.78,20910.77
Project 0054,2026-02-01,158.46,28057.37,17856.91
Project 0054,2026-03-01,150.58,28157.47,19817.12
Project 0054,2026-04-01,141.89,25945.51,17609.61
Project 0054,2026-05-01,139.56,22729.55,16919.65
Project 0054,2026-06-01,131.88,22059.9,13518.79
Project 0054,2026-07-01,118.46,27718.21,18729.44
Project 0054,2026-08-01,117.77,22605.76,15725.4
Project 0055,2024-09-01,18.55,1397.57,779.11
Project 0055,2024-10-01,12.67,1462.35,907.06
Project 0055,2024-11-01,17.94,1758.55,984.2
Project 0055,2024-12-01,16.31,1525.62,903.03
Project 0055,2025-01-01,18.05,1301.7,968.16
Project 0055,2025-02-01,17.27,1755.16,1198.25
Project 0055,2025-03-01,13.07,1409.14,797.29
Project 0055,2025-04-01,17.24,1595.26,1141.08
Project 0055,2025-05-01,17.88,1713.32,1284.9
Project 0055,2025-06-01,17.09,1354.7,903.98
Project 0055,2025-07-01,18.58,1363.9,995.07
Project 0055,2025-08-01,12.08,1292.82,889.03
Project 0055,2025-09-01,18.26,1547.51,923.56
Project 0055,2025-10-01,13.66,1269.19,702.86
Project 0055,2025-11-01,18.12,1243.22,771.3
Project 0055,2025-12-01,12.02,1443.99,872.32
Project 0055,2026-01-01,16.09,1654.93,1159.7
Project 0055,2026-02-01,14.01,1463.48,946.23
Project 0055,2026-03-01,17.61,1397.0,851.52
Project 0055,2026-04-01,12.83,1577.3,1084.2
Project 0055,2026-05-01,16.04,1713.07,1134.0
Project 0055,2026-06-01,16.17,1738.68,1046.53
Project 0055,2026-07-01,16.7,1380.58,962.38
Project 0055,2026-08-01,14.25,1386.52,1037.41
Project 0056,2024-09-01,327.79,19070.3,10726.84
Project 0056,2024-10-01,280.28,24813.95,16992.63
Project 0056,2024-11-01,368.6,18707.13,13443.08
Project 0056,2024-12-01,345.67,21441.39,13514.69
Project 0056,2025-01-01,388.44,20656.0,12484.5
Project 0056,2025-02-01,297.6,24030.15,14417.39
Project 0056,2025-03-01,355.86,20943.32,13422.25
Project 0056,2025-04-01,298.72,24207.47,13365.78
Project 0056,2025-05-01,391.23,24458.36,13743.06
Project 0056,2025-06-01,323.77,23135.32,16397.83
Project 0056,2025-07-01,395.7,25239.95,17805.29
Project 0056,2025-08-01,389.75,20404.92,13399.82
Project 0056,2025-09-01,335.75,18677.37,13791.96
Project 0056,2025-10-01,281.79,25347.33,17713.36
Project 0056,2025-11-01,307.52,24691.87,15909.51
Project 0056,2025-12-01,333.03,23934.66,13704.01
Project 0056,2026-01-01,404.92,23893.88,16259.71
Project 0056,2026-02-01,320.75,24436.35,14335.33
Project 0056,2026-03-01,316.1,23389.83,16887.8
Project 0056,2026-04-01,332.18,19235.43,12105.73
Project 0056,2026-05-01,289.53,25748.24,14212.24
Project 0056,2026-06-01,391.02,20157.59,11930.56
Project 0056,2026-07-01,286.0,20179.89,13986.43
Project 0056,2026-08-01,316.62,18808.49,11407.35
Project 0057,2024-09-01,85.16,18135.73,11907.47
Project 0057,2024-10-01,92.75,20535.2,12778.91
Project 0057,2024-11-01,85.45,19556.26,14248.56
Project 0057,2024-12-01,78.3,17451.27,11049.36
Project 0057,2025-01-01,67.97,20020.35,11971.0
Project 0057,2025-02-01,67.99,16970.32,11237.77
Project 0057,2025-03-01,71.08,15450.23,11320.21
Project 0057,2025-04-01,85.77,17204.1,9852.66
Project 0057,2025-05-01,87.8,16172.08,11362.48
Project 0057,2025-06-01,92.85,17056.83,12487.79
Project 0057,2025-07-01,74.78,20734.85,12223.09
Project 0057,2025-08-01,83.59,18592.16,10692.14
Project 0057,2025-09-01,60.7,19612.46,12680.35
Project 0057,2025-10-01,85.5,16704.83,10232.58
Project 0057,2025-11-01,80.51,19869.88,14083.35
Project 0057,2025-12-01,83.4,20907.47,15617.67
Project 0057,2026-01-01,71.69,14775.75,8445.39
Project 0057,2026-02-01,88.89,16266.18,9051.56
Project 0057,2026-03-01,79.55,17912.44,11862.16
Project 0057,2026-04-01,87.23,17625.89,10165.0
Project 0057,2026-05-01,81.22,16574.35,11406.3
Project 0057,2026-06-01,90.14,17171.69,10871.38
Project 0057,2026-07-01,61.33,17162.93,11331.45
Project 0057,2026-08-01,64.01,19115.78,11681.4
Project 0058,2024-09-01,22.29,3392.07,2029.55
Project 0058,2024-10-01,20.51,3271.45,2385.32
Project 0058,2024-11-01,25.88,2644.79,1718.88
Project 0058,2024-12-01,19.76,3490.14,2392.77
Project 0058,2025-01-01,23.49,3160.69,2049.02
Project 0058,2025-02-01,28.31,3326.51,1890.29
Project 0058,2025-03-01,26.92,2549.57,1457.42
Project 0058,2025-04-01,24.96,3619.29,2461.74
Project 0058,2025-05-01,20.96,2747.97,1873.76
Project 0058,2025-06-01,28.78,3534.16,2083.76
Project 0058,2025-07-01,19.03,2676.34,1936.76
Project 0058,2025-08-01,18.45,2853.95,1697.43
Project 0058,2025-09-01,28.87,2904.53,1901.62
Project 0058,2025-10-01,21.96,2754.41,1696.89
Project 0058,2025-11-01,19.86,2549.82,1756.92
Project 0058,2025-12-01,20.86,2661.0,1650.21
Project 0058,2026-01-01,24.57,3366.05,2315.17
Project 0058,2026-02-01,25.63,3155.12,1737.11
Project 0058,2026-03-01,19.6,3557.57,2245.72
Project 0058,2026-04-01,23.02,3380.77,2499.63
Project 0058,2026-05-01,27.65,3045.15,2168.65
Project 0058,2026-06-01,28.19,3612.97,2636.11
Project 0058,2026-07-01,22.3,3337.15,1906.27
Project 0058,2026-08-01,28.74,3289.64,2287.36
Project 0059,2024-09-01,259.6,34302.94,19985.68
Project 0059,2024-10-01,212.6,27051.38,15788.59
Project 0059,2024-11-01,277.0,30599.09,21489.49
Project 0059,2024-12-01,178.32,28910.17,17711.97
Project 0059,2025-01-01,210.81,30013.31,17173.83
Project 0059,2025-02-01,203.6,29116.97,21309.15
Project 0059,2025-03-01,182.85,25477.87,14039.91
Project 0059,2025-04-01,244.98,27893.0,19415.83
Project 0059,2025-05-01,247.41,29228.98,18179.92
Project 0059,2025-06-01,181.98,31518.49,19798.36
Project 0059,2025-07-01,259.47,32831.55,22759.81
Project 0059,2025-08-01,202.98,26571.53,19907.86
Project 0059,2025-09-01,196.22,25495.2,14685.37
Project 0059,2025-10-01,199.22,27888.57,18114.67
Project 0059,2025-11-01,269.48,29471.85,16414.29
Project 0059,2025-12-01,238.5,27805.59,18656.45
Project 0059,2026-01-01,260.76,29515.67,16603.87
Project 0059,2026-02-01,228.14,33094.48,19087.31
Project 0059,2026-03-01,243.84,33843.77,19721.07
Project 0059,2026-04-01,192.2,24751.09,16626.78
Project 0059,2026-05-01,200.8,26305.36,14600.21
Project 0059,2026-06-01,260.22,32106.75,22775.56
Project 0059,2026-07-01,269.66,25753.34,17627.02
Project 0059,2026-08-01,223.3,33969.98,21652.16
Project 0060,2024-09-01,217.69,33313.56,21792.89
Project 0060,2024-10-01,304.72,33876.13,25109.89
Project 0060,2024-11-01,231.21,32377.56,17938.99
Project 0060,2024-12-01,267.34,30002.87,17943.29
Project 0060,2025-01-01,275.91,26154.02,18382.38
Project 0060,2025-02-01,296.23,35577.16,25214.47
Project 0060,2025-03-01,323.11,31489.87,21349.86
Project 0060,2025-04-01,318.37,34135.12,25122.49
Project 0060,2025-05-01,215.96,28939.52,16911.53
Project 0060,2025-06-01,219.12,25443.6,14933.62
Project 0060,2025-07-01,270.87,28502.02,19732.99
Project 0060,2025-08-01,286.1,27089.65,18714.94
Project 0060,2025-09-01,313.39,30862.3,17659.37
Project 0060,2025-10-01,257.3,26722.85,15374.79
Project 0060,2025-11-01,253.73,30945.56,18781.45
Project 0060,2025-12-01,246.28,26645.46,17894.88
Project 0060,2026-01-01,226.0,31048.52,17852.4
Project 0060,2026-02-01,208.14,25090.45,18214.72
Project 0060,2026-03-01,293.03,25290.23,18320.17
Project 0060,2026-04-01,258.2,25864.97,19203.72
Project 0060,2026-05-01,264.51,33851.77,23781.35
Project 0060,2026-06-01,247.78,33843.51,24652.65
Project 0060,2026-07-01,269.01,29905.84,22427.63
Project 0060,2026-08-01,249.4,33951.21,18743.41
Project 0061,2024-09-01,273.77,17055.66,11600.59
Project 0061,2024-10-01,291.52,19057.01,12192.03
Project 0061,2024-11-01,248.35,13756.17,9462.17
Project 0061,2024-12-01,255.28,16947.51,10910.19
Project 0061,2025-01-01,226.18,15108.64,9821.31
Project 0061,2025-02-01,233.25,14328.69,8809.22
Project 0061,2025-03-01,202.68,16826.98,12047.01
Project 0061,2025-04-01,270.08,16681.99,11520.9
Project 0061,2025-05-01,247.72,15095.3,11189.38
Project 0061,2025-06-01,303.41,17878.78,12501.76
Project 0061,2025-07-01,202.44,14416.53,9594.67
Project 0061,2025-08-01,225.97,15483.8,11015.83
Project 0061,2025-09-01,230.61,15537.57,11187.01
Project 0061,2025-10-01,235.0,18344.92,13144.13
Project 0061,2025-11-01,242.54,18371.22,10348.41
Project 0061,2025-12-01,253.62,13397.28,8290.44
Project 0061,2026-01-01,281.42,19228.45,13503.28
Project 0061,2026-02-01,294.28,18983.1,11648.74
Project 0061,2026-03-01,278.46,14360.23,8984.55
Project 0061,2026-04-01,265.57,16159.49,11821.87
Project 0061,2026-05-01,282.63,15842.7,9563.73
Project 0061,2026-06-01,195.42,17476.2,12658.03
Project 0061,2026-07-01,274.76,13565.94,7586.77
Project 0061,2026-08-01,250.71,14947.47,9476.51
Project 0062,2024-09-01,230.47,10789.42,7504.49
Project 0062,2024-10-01,201.49,12868.53,9001.06
Project 0062,2024-11-01,253.6,10185.01,6131.5
Project 0062,2024-12-01,222.45,12513.32,9347.34
Project 0062,2025-01-01,220.31,11302.83,6846.04
Project 0062,2025-02-01,263.92,13858.03,9647.08
Project 0062,2025-03-01,294.4,13951.82,9735.43
Project 0062,2025-04-01,286.83,10815.5,6389.31
Project 0062,2025-05-01,269.38,13189.23,9255.91
Project 0062,2025-06-01,264.19,12273.78,9090.75
Project 0062,2025-07-01,227.71,10394.23,6987.74
Project 0062,2025-08-01,204.12,14152.34,7847.61
Project 0062,2025-09-01,199.35,10196.78,7459.59
Project 0062,2025-10-01,268.44,13094.99,8570.86
Project 0062,2025-11-01,210.76,13359.31,8394.83
Project 0062,2025-12-01,205.76,12087.91,7662.56
Project 0062,2026-01-01,197.49,11332.33,6542.69
Project 0062,2026-02-01,195.54,13281.28,9786.32
Project 0062,2026-03-01,281.95,10330.37,7538.31
Project 0062,2026-04-01,289.49,14052.53,8537.05
Project 0062,2026-05-01,240.73,11404.55,6590.23
Project 0062,2026-06-01,289.67,10050.99,6641.96
Project 0062,2026-07-01,296.07,12604.91,8609.46
Project 0062,2026-08-01,280.59,12962.58,7431.05
Project 0063,2024-09-01,223.35,32338.67,23755.54
Project 0063,2024-10-01,180.94,38742.09,27950.04
Project 0063,2024-11-01,155.99,28528.18,18052.44
Project 0063,2024-12-01,165.44,33844.83,21027.63
Project 0063,2025-01-01,183.98,29926.16,21210.73
Project 0063,2025-02-01,152.65,36020.01,23323.54
Project 0063,2025-03-01,187.33,36463.5,22911.3
Project 0063,2025-04-01,223.38,35537.89,20220.4
Project 0063,2025-05-01,177.2,32703.56,21760.73
Project 0063,2025-06-01,158.31,29796.59,18088.68
Project 0063,2025-07-01,204.11,39619.59,27033.98
Project 0063,2025-08-01,154.27,37921.76,27374.45
Project 0063,2025-09-01,171.34,35206.89,25108.53
Project 0063,2025-10-01,213.28,37745.84,21632.28
Project 0063,2025-11-01,222.64,39784.48,24725.81
Project 0063,2025-12-01,157.52,28742.04,21515.32
Project 0063,2026-01-01,173.09,34817.98,21156.81
Project 0063,2026-02-01,198.36,31077.69,19699.45
Project 0063,2026-03-01,199.98,39736.2,28149.48
Project 0063,2026-04-01,150.3,31514.64,20407.76
Project 0063,2026-05-01,160.4,31781.57,23535.16
Project 0063,2026-06-01,158.15,33363.22,19675.3
Project 0063,2026-07-01,225.9,31367.58,18933.55
Project 0063,2026-08-01,197.97,31955.38,19454.19
Project 0064,2024-09-01,295.97,57700.44,35343.63
Project 0064,2024-10-01,274.26,55165.74,39218.88
Project 0064,2024-11-01,391.69,55903.37,39663.92
Project 0064,2024-12-01,319.39,65130.41,37710.93
Project 0064,2025-01-01,364.62,69717.94,47484.24
Project 0064,2025-02-01,415.19,52922.63,29809.1
Project 0064,2025-03-01,333.81,61183.47,33667.5
Project 0064,2025-04-01,388.1,64188.61,45872.63
Project 0064,2025-05-01,347.0,73006.98,49362.01
Project 0064,2025-06-01,347.05,54556.88,31695.54
Project 0064,2025-07-01,322.43,61248.92,38875.18
Project 0064,2025-08-01,411.37,65908.13,41449.42
Project 0064,2025-09-01,389.07,75353.6,49152.87
Project 0064,2025-10-01,287.22,67577.89,48582.03
Project 0064,2025-11-01,424.27,66155.42,44806.12
Project 0064,2025-12-01,395.38,71962.42,44551.38
Project 0064,2026-01-01,338.12,58710.89,37777.42
Project 0064,2026-02-01,410.09,58260.5,38365.1
Project 0064,2026-03-01,396.97,75291.63,49778.38
Project 0064,2026-04-01,349.66,74567.26,54241.81
Project 0064,2026-05-01,330.08,60983.69,38640.86
Project 0064,2026-06-01,357.19,65331.22,42418.24
Project 0064,2026-07-01,415.15,59780.94,39916.76
Project 0064,2026-08-01,372.34,62127.65,43712.6
Project 0065,2024-09-01,294.69,22327.41,12780.65
Project 0065,2024-10-01,292.0,18751.37,13677.22
Project 0065,2024-11-01,354.14,18435.24,11928.09
Project 0065,2024-12-01,230.32,22417.18,16359.23
Project 0065,2025-01-01,355.14,22123.78,12225.94
Project 0065,2025-02-01,314.89,16900.87,9381.58
Project 0065,2025-03-01,258.21,16157.47,10542.56
Project 0065,2025-04-01,233.74,19474.44,11374.51
Project 0065,2025-05-01,307.06,19156.73,11104.78
Project 0065,2025-06-01,347.73,18463.03,13843.21
Project 0065,2025-07-01,344.75,22509.57,14156.99
Project 0065,2025-08-01,283.82,20441.91,13894.48
Project 0065,2025-09-01,308.66,17848.12,11686.09
Project 0065,2025-10-01,332.83,15888.36,8776.41
Project 0065,2025-11-01,230.03,17736.18,11089.37
Project 0065,2025-12-01,348.92,16154.39,10227.92
Project 0065,2026-01-01,275.08,18880.18,12753.59
Project 0065,2026-02-01,314.16,21114.77,14772.77
Project 0065,2026-03-01,342.37,21950.83,15032.19
Project 0065,2026-04-01,312.79,17196.17,11198.43
Project 0065,2026-05-01,338.36,20652.68,14426.81
Project 0065,2026-06-01,237.62,21542.22,11984.46
Project 0065,2026-07-01,347.24,17497.84,12506.26
Project 0065,2026-08-01,321.05,20415.46,14195.56
Project 0066,2024-09-01,261.58,17169.0,11583.55
Project 0066,2024-10-01,198.93,15696.44,10696.56
Project 0066,2024-11-01,192.77,14414.55,10252.79
Project 0066,2024-12-01,276.29,14869.62,9015.98
Project 0066,2025-01-01,222.66,14712.32,8447.17
Project 0066,2025-02-01,206.4,14422.19,8394.64
Project 0066,2025-03-01,200.9,13656.57,9516.1
Project 0066,2025-04-01,239.82,12319.67,8650.04
Project 0066,2025-05-01,271.64,14712.61,10174.89
Project 0066,2025-06-01,197.22,16133.64,11381.63
Project 0066,2025-07-01,213.87,16581.29,9827.28
Project 0066,2025-08-01,252.2,14203.8,8998.5
Project 0066,2025-09-01,188.78,16073.7,11431.65
Project 0066,2025-10-01,202.49,13502.62,9020.78
Project 0066,2025-11-01,179.94,12528.91,7544.98
Project 0066,2025-12-01,269.22,15017.58,10801.95
Project 0066,2026-01-01,181.03,14764.32,9700.9
Project 0066,2026-02-01,211.63,15904.28,9100.63
Project 0066,2026-03-01,255.44,13637.49,8458.64
Project 0066,2026-04-01,209.64,16474.32,9599.77
Project 0066,2026-05-01,223.09,14473.95,8007.3
Project 0066,2026-06-01,196.01,12778.47,7318.46
Project 0066,2026-07-01,274.99,13972.32,9107.78
Project 0066,2026-08-01,213.38,15493.5,9523.82
Project 0067,2024-09-01,132.62,15180.18,9817.36
Project 0067,2024-10-01,148.18,16065.7,10419.17
Project 0067,2024-11-01,111.79,17256.8,11396.95
Project 0067,2024-12-01,119.75,19977.58,11861.87
Project 0067,2025-01-01,112.29,18459.59,12613.86
Project 0067,2025-02-01,108.27,19007.98,10593.23
Project 0067,2025-03-01,120.48,19106.24,10838.76
Project 0067,2025-04-01,121.64,20021.05,12851.91
Project 0067,2025-05-01,140.1,16584.99,10121.78
Project 0067,2025-06-01,144.56,21392.5,12350.84
Project 0067,2025-07-01,125.85,17767.66,11670.68
Project 0067,2025-08-01,137.52,20563.48,11563.08
Project 0067,2025-09-01,103.62,19337.19,13651.91
Project 0067,2025-10-01,121.33,19410.97,11811.35
Project 0067,2025-11-01,149.3,20276.45,12580.73
Project 0067,2025-12-01,136.13,16993.51,9374.86
Project 0067,2026-01-01,110.57,15571.52,9141.76
Project 0067,2026-02-01,161.61,18394.39,12517.8
Project 0067,2026-03-01,134.11,15431.02,10019.81
Project 0067,2026-04-01,157.37,15975.87,10195.05
Project 0067,2026-05-01,127.89,21566.98,14484.2
Project 0067,2026-06-01,129.9,15716.79,9394.76
Project 0067,2026-07-01,149.33,20521.63,14669.6
Project 0067,2026-08-01,152.21,19785.55,11676.75
Project 0068,2024-09-01,334.78,69791.01,47281.91
Project 0068,2024-10-01,270.67,76528.83,43597.48
Project 0068,2024-11-01,316.72,81638.76,47412.95
Project 0068,2024-12-01,365.36,78493.81,45833.53
Project 0068,2025-01-01,367.87,79105.0,58353.57
Project 0068,2025-02-01,314.84,81571.21,50675.48
Project 0068,2025-03-01,248.28,58452.9,37162.47
Project 0068,2025-04-01,265.25,68447.13,43059.82
Project 0068,2025-05-01,356.29,62719.68,38236.36
Project 0068,2025-06-01,308.86,73526.12,41202.3
Project 0068,2025-07-01,312.21,82286.95,50607.42
Project 0068,2025-08-01,286.34,62298.47,34519.73
Project 0068,2025-09-01,312.79,67535.34,48920.79
Project 0068,2025-10-01,255.22,75790.07,43924.08
Project 0068,2025-11-01,266.76,69181.23,38435.02
Project 0068,2025-12-01,242.6,78788.96,56423.77
Project 0068,2026-01-01,373.55,61941.0,41548.46
Project 0068,2026-02-01,255.07,77003.71,55629.08
Project 0068,2026-03-01,329.45,79660.22,51815.38
Project 0068,2026-04-01,240.74,76659.72,51246.12
Project 0068,2026-05-01,288.86,79869.6,45658.09
Project 0068,2026-06-01,339.61,68996.52,39428.77
Project 0068,2026-07-01,260.15,63520.1,45060.49
Project 0068,2026-08-01,334.06,59870.76,37316.93
Project 0069,2024-09-01,248.46,14615.95,8373.61
Project 0069,2024-10-01,234.34,12494.78,7537.25
Project 0069,2024-11-01,235.73,12017.76,8982.27
Project 0069,2024-12-01,185.63,13660.09,8601.94
Project 0069,2025-01-01,229.92,11801.56,8316.5
Project 0069,2025-02-01,162.62,15189.39,10061.4
Project 0069,2025-03-01,191.39,12013.6,8493.51
Project 0069,2025-04-01,218.61,11906.82,8107.51
Project 0069,2025-05-01,231.14,15568.9,11065.24
Project 0069,2025-06-01,177.28,13538.61,8598.54
Project 0069,2025-07-01,222.28,13624.57,9149.47
Project 0069,2025-08-01,184.47,12877.26,7515.76
Project 0069,2025-09-01,219.26,14318.27,9843.45
Project 0069,2025-10-01,184.2,12774.18,8966.76
Project 0069,2025-11-01,201.89,14701.76,9885.18
Project 0069,2025-12-01,224.43,12778.95,9164.35
Project 0069,2026-01-01,207.1,14291.31,9171.18
Project 0069,2026-02-01,222.41,14070.67,9311.21
Project 0069,2026-03-01,169.02,13987.16,10355.44
Project 0069,2026-04-01,194.41,14784.06,9795.36
Project 0069,2026-05-01,163.96,11211.42,6728.64
Project 0069,2026-06-01,238.18,14298.36,9463.19
Project 0069,2026-07-01,197.01,13541.16,7885.29
Project 0069,2026-08-01,229.81,11552.75,8497.06
Project 0070,2024-09-01,146.57,17527.28,12845.6
Project 0070,2024-10-01,153.33,15175.6,10218.69
Project 0070,2024-11-01,124.25,18423.79,12653.07
Project 0070,2024-12-01,113.32,19676.77,12921.82
Project 0070,2025-01-01,159.54,15246.83,9933.73
Project 0070,2025-02-01,128.85,19760.88,11362.82
Project 0070,2025-03-01,123.58,14865.08,8901.9
Project 0070,2025-04-01,107.78,18179.25,11891.3
Project 0070,2025-05-01,141.57,17102.44,11808.95
Project 0070,2025-06-01,166.36,18650.26,10773.38
Project 0070,2025-07-01,132.3,17344.95,10986.47
Project 0070,2025-08-01,136.26,18840.01,12311.69
Project 0070,2025-09-01,166.79,17361.67,12769.72
Project 0070,2025-10-01,113.25,16565.59,11893.31
Project 0070,2025-11-01,124.26,20969.42,13033.69
Project 0070,2025-12-01,149.72,20614.68,12556.97
Project 0070,2026-01-01,163.9,18311.43,13044.38
Project 0070,2026-02-01,151.29,19338.46,11324.68
Project 0070,2026-03-01,123.26,19867.65,14624.05
Project 0070,2026-04-01,158.63,16929.14,10212.45
Project 0070,2026-05-01,112.96,17886.54,12199.05
Project 0070,2026-06-01,150.16,19940.46,13054.05
Project 0070,2026-07-01,163.24,14888.18,10289.19
Project 0070,2026-08-01,154.8,19364.21,13546.21
Project 0071,2024-09-01,142.06,29001.55,19576.2
Project 0071,2024-10-01,146.0,33393.0,18642.47
Project 0071,2024-11-01,102.09,28339.7,16165.39
Project 0071,2024-12-01,150.08,30706.38,17624.39
Project 0071,2025-01-01,152.2,29107.62,20749.66
Project 0071,2025-02-01,144.23,29836.99,19529.47
Project 0071,2025-03-01,107.23,25991.41,15274.47
Project 0071,2025-04-01,153.33,28042.28,19908.21
Project 0071,2025-05-01,128.3,28913.12,17438.13
Project 0071,2025-06-01,146.02,31801.23,19010.17
Project 0071,2025-07-01,135.79,24754.8,16400.11
Project 0071,2025-08-01,136.93,28586.92,18870.87
Project 0071,2025-09-01,122.85,26975.09,17145.98
Project 0071,2025-10-01,155.06,33671.99,24533.42
Project 0071,2025-11-01,133.56,31958.91,21983.01
Project 0071,2025-12-01,114.4,34298.01,22534.62
Project 0071,2026-01-01,138.95,31644.41,19001.07
Project 0071,2026-02-01,145.63,30550.26,19705.4
Project 0071,2026-03-01,120.69,32747.22,24159.33
Project 0071,2026-04-01,134.19,29988.66,16681.86
Project 0071,2026-05-01,136.3,26120.92,16559.99
Project 0071,2026-06-01,103.7,29714.64,21300.26
Project 0071,2026-07-01,110.7,32653.71,22102.18
Project 0071,2026-08-01,136.76,33013.29,20206.76
Project 0072,2024-09-01,239.5,33019.23,20262.29
Project 0072,2024-10-01,281.83,28349.56,16205.89
Project 0072,2024-11-01,254.54,36130.53,21454.1
Project 0072,2024-12-01,247.63,31228.31,20516.4
Project 0072,2025-01-01,229.93,29566.69,17834.01
Project 0072,2025-02-01,217.49,30576.08,21529.49
Project 0072,2025-03-01,287.26,32634.4,21512.92
Project 0072,2025-04-01,327.97,32280.71,17809.72
Project 0072,2025-05-01,237.19,26191.51,15281.7
Project 0072,2025-06-01,295.88,27688.74,17773.31
Project 0072,2025-07-01,241.51,36786.79,22519.62
Project 0072,2025-08-01,315.4,36702.18,23634.73
Project 0072,2025-09-01,316.8,31879.83,20600.62
Project 0072,2025-10-01,315.0,27967.42,18390.1
Project 0072,2025-11-01,275.56,27372.76,17317.12
Project 0072,2025-12-01,229.19,35496.74,25736.62
Project 0072,2026-01-01,263.19,31404.09,18289.54
Project 0072,2026-02-01,327.02,33521.02,20953.17
Project 0072,2026-03-01,281.58,28366.57,20118.62
Project 0072,2026-04-01,290.92,25697.29,17199.28
Project 0072,2026-05-01,268.94,29225.96,17517.83
Project 0072,2026-06-01,291.31,34520.73,22664.32
Project 0072,2026-07-01,249.39,30060.74,21479.82
Project 0072,2026-08-01,275.05,30721.63,20097.04
Project 0073,2024-09-01,118.43,24008.54,13782.53
Project 0073,2024-10-01,148.02,20936.61,12451.12
Project 0073,2024-11-01,150.39,20560.21,11941.62
Project 0073,2024-12-01,123.3,25560.87,14705.07
Project 0073,2025-01-01,104.18,23710.98,17029.44
Project 0073,2025-02-01,111.52,24580.47,14684.27
Project 0073,2025-03-01,114.46,24005.1,14492.35
Project 0073,2025-04-01,152.46,24763.88,15610.36
Project 0073,2025-05-01,155.06,26367.24,15642.64
Project 0073,2025-06-01,148.02,27159.45,16876.54
Project 0073,2025-07-01,118.81,28760.51,17283.94
Project 0073,2025-08-01,128.97,26852.7,16545.53
Project 0073,2025-09-01,148.49,21640.21,15305.35
Project 0073,2025-10-01,159.82,25046.45,15369.32
Project 0073,2025-11-01,143.3,21999.85,15436.9
Project 0073,2025-12-01,107.83,22046.28,15699.23
Project 0073,2026-01-01,141.37,28646.2,17347.38
Project 0073,2026-02-01,156.04,28823.32,18812.29
Project 0073,2026-03-01,151.47,27318.65,20132.75
Project 0073,2026-04-01,141.31,27455.66,18446.38
Project 0073,2026-05-01,140.29,24175.3,17141.33
Project 0073,2026-06-01,130.89,28580.65,18998.44
